GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Steelworks Project,com.steelworks.service,DefectAnalysisService,15,6,0,0,3,3,3,1,3,1
Steelworks Project,com.steelworks.service,ShippingStatusService,10,9,0,0,2,4,2,1,2,1
Steelworks Project,com.steelworks.service,DashboardService,5,9,0,0,1,4,1,1,1,1
Steelworks Project,com.steelworks.service,DataIntegrityService,10,9,0,0,2,4,2,1,2,1
Steelworks Project,com.steelworks.service,LotLookupService,15,15,0,0,3,6,3,1,3,1
Steelworks Project,com.steelworks.util,LotIdNormalizer,7,12,1,1,2,3,2,2,1,2
Steelworks Project,com.steelworks.enums,DefectSeverity,34,0,0,0,2,0,1,0,1,0
Steelworks Project,com.steelworks.enums,ShipStatus,24,0,0,0,2,0,1,0,1,0
Steelworks Project,com.steelworks.enums,TimeGrouping,34,0,0,0,2,0,1,0,1,0
Steelworks Project,com.steelworks.model,ProductionLog,80,0,0,0,35,0,23,0,23,0
Steelworks Project,com.steelworks.model,Lot,55,0,0,0,22,0,13,0,13,0
Steelworks Project,com.steelworks.model,ShippingLog,94,0,0,0,41,0,27,0,27,0
Steelworks Project,com.steelworks.model,ProductionLine,36,0,0,0,15,0,9,0,9,0
Steelworks Project,com.steelworks.model,Customer,24,0,0,0,11,0,7,0,7,0
Steelworks Project,com.steelworks.model,DefectType,38,0,0,0,17,0,11,0,11,0
Steelworks Project,com.steelworks.controller,DashboardController,5,6,0,0,1,3,1,1,1,1
Steelworks Project,com.steelworks.controller,LotLookupController,20,9,0,0,4,4,4,1,4,1
Steelworks Project,com.steelworks.dto,DataConflictDTO,24,0,0,0,11,0,7,0,7,0
Steelworks Project,com.steelworks.dto,DefectTrendDTO.TrendDirection,34,0,0,0,2,0,1,0,1,0
Steelworks Project,com.steelworks.dto,OrphanedRecordDTO,38,0,0,0,17,0,11,0,11,0
Steelworks Project,com.steelworks.dto,DefectTrendDTO,31,0,0,0,14,0,9,0,9,0
Steelworks Project,com.steelworks.dto,LotSearchResult,66,0,0,0,29,0,19,0,19,0
Steelworks Project,com.steelworks.dto,ShippingRiskAlertDTO,45,0,0,0,20,0,13,0,13,0
Steelworks Project,com.steelworks.dto,ConsolidatedLotView,108,0,0,0,47,0,31,0,31,0
Steelworks Project,com.steelworks.dto,DashboardSummaryDTO,31,0,0,0,14,0,9,0,9,0
Steelworks Project,com.steelworks.dto,ProductionLineRankingDTO,24,0,0,0,11,0,7,0,7,0
Steelworks Project,com.steelworks.dto,LotSearchRequest,24,0,0,0,11,0,7,0,7,0
Steelworks Project,com.steelworks,SteelworksApplication,8,0,0,0,3,0,2,0,2,0
